title,price,tag,sku
V1: MINI RED,$7.95,Version 1,18-V1-MN-RD
V1: MINI BLACK,$7.95,Version 1,18-V1-MN-BK
V1: MINI GOLD,$7.95,Version 1,21-V1-MN-GL
V1: MINI GREEN,$7.95,Version 1,21-V1-MN-GN
V1: MINI LIGHT BLUE,$7.95,Version 1,21-V1-MN-BL
V1: MINI ORANGE,$7.95,Version 1,21-V1-MN-OR
V1: MINI PURPLE,$7.95,Version 1,21-V1-MN-PR
V1: MINI-DARK BLUE,$7.95,Version 1,21-V1-MN-DB
V1: TALL BOY BIG BORE SILVER,$10.95,Version 1,21-V1-BT-SV
V1: TALL BOY BIG BORE BLACK,$10.95,Version 1,21-V1-BT-BK
V1: TALLBOY MINI BLACK,$9.49,Version 1,21-V1-TM-BK
V1: MINI SILVER,$7.95,Version 1,18-V1-MN-SV
V1: TALLBOY MINI SILVER,$9.49,Version 1,18-V1-TM-SV
V1:BIG BORE – BLACK,$9.49,Version 1,18-V1-BB-BK
V1: MAX BORE SILVER,$9.49,Version 1,20-V1-MB-SV
V1:BIG BORE – SILVER,$9.49,Version 1,17-V1-BB-SV
V1:SILVER SKIRTLESS,$9.49,Version 1,17-V1-SK-SV
V1:CLEAR SKIRTLESS,$9.49,Version 1,18-V1-SK-CR (Please Tighten Lightly)
COLORED ACRYLIC – BLUE,$9.49,Version 1,18-V1-ST-BA (Please Tighten Lightly)
COLORED ACRYLIC – RED,$9.49,Version 1,18-V1-ST-RA (Please Tighten Lightly)
COLORED ACRYLIC -GREEN,$9.49,Version 1,18-V1-ST-GA (Please Tighten Lightly)
V1: WHITE (machined p.o.m plastic),$7.95,Version 1,18-V1-ST-WH
V1: CHROME,$10.49,Version 1,18-V1-ST-CH
V1: SILVER,$9.49,Version 1,17-V1-ST-SV
V1: BRASS,$10.49,Version 1,18-V1-ST-BS
V1:CLEAR,$9.49,Version 1,17-V1-ST-CR (Please Tighten Lightly)
V1: BLACK,$9.49,Version 1,17-V1-ST-BK
V1: DARK BLUE,$9.49,Version 1,17-V1-ST-DB
V1: LIGHT BLUE,$9.49,Version 1,17-V1-ST-BL
V1: GREEN,$9.49,Version 1,17-V1-ST-GN
V1: ORANGE,$9.49,Version 1,17-V1-ST-OR
V1: PURPLE,$9.49,Version 1,17-V1-ST-PR
V1: RED,$9.49,Version 1,17-V1-ST-RD
V1: GOLD,$9.49,Version 1,17-V1-ST-GL
V1: TALL BOY SILVER,$10.95,Version 1,17-V1-TB-SV
V1: TALL BOY BLACK,$10.95,Version 1,17-V1-TB-BK
V1: TALL BOY WHITE PLASTIC,$9.49,Version 1,17-V1-TB-WH
V1: TALL BOY CLEAR,$10.95,Version 1,17-V1-TB-CR (Please Tighten Lightly)
V1: TALL BOY DARK BLUE,$10.95,Version 1,17-V1-TB-DB
V1: TALL BOY GOLD,$10.95,Version 1,17-V1-TB-GL
V1: TALL BOY GREEN,$10.95,Version 1,17-V1-TB-GR
V1: TALL BOY LIGHT BLUE,$10.95,Version 1,17-V1-TB-LB
V1: TALL BOY ORANGE,$10.95,Version 1,17-V1-TB-OR
V1: TALL BOY PURPLE,$10.95,Version 1,17-V1-TB-PR
V1: TALL BOY RED,$10.95,Version 1,17-V1-TB-RD
